#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   794.33732	   560.80506	         ***	     ***
    2	   794.35901	   560.80504	         ***	     ***
    3	   435.89705	   309.29711	         ***	     ***
    4	   436.10813	   309.27917	         ***	     ***
    5	    71.39702	    39.30170	         ***	     ***
    6	    74.65974	    38.82951	         ***	     ***
    7	    50.27410	    26.50732	         ***	     ***
    8	    40.34404	    22.60648	         ***	     ***
    9	    62.62483	    19.33807	    17.14800	   0.872
   10	    46.42570	    19.32928	    17.25200	   0.862
   11	    58.16839	    17.98931	    16.23000	   0.889
   12	    43.10017	    16.25132	    15.88500	   0.878
   13	    51.12799	    14.49929	    14.24600	   0.880
   14	    62.71514	    14.33928	    12.39100	   0.878
   15	    57.14429	    12.10879	    10.72900	   0.899
